strategy,Npde,Nbc,error_u,error_v,error_p
uniform,1000,100,3.7278601176443504,3.5017529372580762,10.740580902302368
uniform,10000,1000,1.756686566179901,1.3251269486455313,2.676544342921368
uniform,100000,10000,1.2656233806739257,1.2801669503310977,4.896176047017882
lhs,1000,100,3.6255829839178593,5.027822943894398,10.22304314780363
lhs,10000,1000,1.435108785728831,1.4737423986221962,4.652511526364113
lhs,100000,10000,1.6761801003922028,1.6646852870804225,4.312061039545156
rad,1000,100,39.0981166183211,48.28681883135948,92.6206425906197
rad,10000,1000,2.4146843205119644,2.1332063031670017,2.643730511665233
rad,100000,10000,3.0123756862481272,2.6886197938340524,5.84867916081996
