number,value,state,n_neurons,n_hidden_layers,activation,learning_rate,weight_decay,scheduler_gamma,weight_pde,weight_pressure_ref,epochs
0,28.569295271343606,COMPLETE,96,5,tanh,0.001498595217195272,1.6328001920636645e-07,0.999535049537595,80.88673337529497,26377.992703259064,3500
1,32.28288175046568,COMPLETE,48,5,tanh,0.002005983506212417,2.2587688430094102e-07,0.9996903200124345,73.54789194497707,22883.601844950543,3000
2,23.083519014675392,COMPLETE,64,4,gelu,0.0011609427889195422,8.57326464792909e-06,0.9995968807860262,27.556732677369258,26417.97934664623,4000
3,21.884833340949598,COMPLETE,80,5,gelu,0.0015085912200805372,1.6868607164281905e-06,0.999737028563961,69.65539649430255,18058.878716561252,3000
4,22.275197185041844,COMPLETE,80,6,gelu,0.001985201088620566,1.600867349893511e-06,0.9996389649841968,28.260140829787147,29275.60459656174,4000
5,inf,COMPLETE,96,6,tanh,0.0018667778830061563,1.7213533386979122e-06,0.9996746975050878,55.467305001657564,26833.48144020683,3500
6,22.07160490040501,COMPLETE,48,6,gelu,0.00446837622806876,3.4407057436238664e-07,0.9995574502474134,39.50809171530844,21643.705550048115,3500
7,inf,COMPLETE,48,6,gelu,0.0019058587503691991,2.10799685126598e-06,0.9995593227976611,85.93637885723393,23618.7405271276,4000
8,inf,COMPLETE,96,6,tanh,0.004245999437972515,1.9606078537445965e-06,0.9996537096953232,43.670667536087535,21879.019027129838,3500
9,inf,COMPLETE,96,5,gelu,0.0037171175263744295,6.720878543795093e-06,0.9996923307849314,25.47922974551129,21938.298055933865,3000
